,Username,DOB,State,vader_sentiments,customer sentiments(%),vader sentiments(%),clean text,transformer sentiments,transformer sentiments(%),code,latitude,longitude
15,oofb2342,1989-07-29,Wisconsin,POSITIVE,66.67,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,WI,43.78444,-88.787868
16,pcfg3234,1997-07-27,Nebraska,POSITIVE,33.33,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,NE,41.492537,-99.901813
17,yark3323,1972-08-02,West Virginia,POSITIVE,33.33,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,WV,38.597626,-80.454903
18,vbii4342,1954-08-07,Connecticut,POSITIVE,16.67,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,CT,41.603221,-73.087749
19,yegt2433,1980-07-31,Kansas,POSITIVE,16.67,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,KS,39.011902,-98.484246
20,zqga3121,1951-08-08,Pennsylvania,POSITIVE,33.33,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,PA,41.203322,-77.194525
21,poql1141,1988-07-29,Maine,NEGATIVE,16.67,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,ME,45.253783,-69.445469
22,zvyd3312,1980-07-31,Northern Mariana Islands,POSITIVE,33.33,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,MP,15.19,145.75
23,iukw3244,1950-08-08,Montana,POSITIVE,50.0,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,MT,46.879682,-110.362566
24,ngrq4411,1969-08-03,North Carolina,POSITIVE,0.0,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,NC,35.759573,-79.0193
25,skxh1444,1987-07-30,Idaho,POSITIVE,16.67,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,ID,44.068202,-114.742041
26,tdda1422,1981-07-31,U.S. Virgin Islands,POSITIVE,0.0,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,VI,18.036736,-64.801704
27,mnik3114,1985-07-30,Alabama,POSITIVE,33.33,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,AL,32.318231,-86.902298
28,smlz4311,1975-08-02,New Mexico,POSITIVE,0.0,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,NM,34.97273,-105.032363
29,bjja4413,1962-08-05,Indiana,NEGATIVE,0.0,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,IN,40.551217,-85.602364
30,kmtt3322,1974-08-02,Kansas,POSITIVE,33.33,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,KS,39.011902,-98.484246
31,iltp2232,1961-08-05,Vermont,POSITIVE,66.67,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,VT,44.558803,-72.577841
32,nbmi2334,2001-07-26,Delaware,POSITIVE,50.0,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,DE,38.910832,-75.52767
33,nfjd4421,1953-08-07,Montana,POSITIVE,33.33,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,MT,46.879682,-110.362566
34,cdje1243,1990-07-29,Maine,POSITIVE,16.67,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,ME,45.253783,-69.445469
35,otgt4421,1997-07-27,Delaware,POSITIVE,50.0,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,DE,38.910832,-75.52767
36,vvkk4241,1986-07-30,Michigan,POSITIVE,50.0,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,MI,44.314844,-85.602364
37,nqqs2313,1995-07-28,North Carolina,NEGATIVE,16.67,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,NC,35.759573,-79.0193
38,lwqz3224,1978-08-01,Minor Outlying Islands,POSITIVE,50.0,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,MO,28.2075,-177.35
39,ifqm1323,1963-08-05,Florida,POSITIVE,16.67,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,FL,27.664827,-81.515754
40,mewj3321,1962-08-05,Texas,POSITIVE,50.0,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,TX,31.968599,-99.901813
41,fjsw2311,1964-08-04,North Dakota,POSITIVE,33.33,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,ND,47.551493,-101.002012
42,iyuy3411,1965-08-04,Connecticut,POSITIVE,0.0,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,CT,41.603221,-73.087749
43,wyyw4323,1990-07-29,Kentucky,POSITIVE,50.0,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,KY,37.839333,-84.270018
44,ruhr3323,1992-07-28,Kansas,POSITIVE,33.33,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,KS,39.011902,-98.484246
45,rzov3414,1967-08-04,Alaska,NEGATIVE,16.67,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,AK,63.588753,-154.493062
46,rnec1332,1999-07-27,Rhode Island,POSITIVE,16.67,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,RI,41.580095,-71.477429
47,cisr2144,1999-07-27,Ohio,POSITIVE,66.67,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,OH,40.417287,-82.907123
48,glvx4212,1961-08-05,Oklahoma,POSITIVE,33.33,87.93,i loved the quality and price but it seems alfred dunner tops runwide  i ordered a small and it was too big and normally a smallor medium would fit me ,NEGATIVE,-100.0,OK,35.007752,-97.092877
49,nyek2141,1993-07-28,Arkansas,POSITIVE,16.67,81.21,after months of shopping and looking for something that you dont need to wear layers such as you would wear with a see through top  i finally found a top that is soft  not revealing  colorful  and comfortable  the price is more then i would have liked to spend but i feel that one top that meets my requirements as compared to 6 tops that i dont feel good about makes all the difference  i finally found a clothing line that is geared toward middle age instead of young girls ,POSITIVE,97.76,AR,35.20105,-91.831833
50,fxat4311,1998-07-27,American Samoa,POSITIVE,0.0,89.34,this style of alfred dunner tops is always comfortable to wear whether it is a cotton type like this one  or a polyester top to wear as business casual to work ,POSITIVE,99.85,AS,-14.275632,-170.702042
51,ocfu4332,1976-08-01,Alaska,POSITIVE,66.67,92.94,very good quality  love the fabric  easy care  size is accurate ,POSITIVE,99.99,AK,63.588753,-154.493062
52,vivj4111,1988-07-29,Delaware,NEGATIVE,50.0,-36.7,the colors and quality of the fabric were fine  i just didnt care for the loose cut leaves around the front of the neckline  wish they had omitted that in the design  returned it ,NEGATIVE,-99.0,DE,38.910832,-75.52767
53,neqb2223,1957-08-06,Tennessee,POSITIVE,0.0,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,TN,35.517491,-86.580447
54,kfgb3321,1977-08-01,Rhode Island,POSITIVE,16.67,75.79,this flattering blouse was a hit when i wore it to a recent event  many compliments on the colors and style  would like to see this offered in other combinations ,POSITIVE,99.86,RI,41.580095,-71.477429
55,tyfr4414,1974-08-02,Ohio,POSITIVE,33.33,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,OH,40.417287,-82.907123
56,upbt3134,1983-07-31,Hawaii,POSITIVE,33.33,75.79,this flattering blouse was a hit when i wore it to a recent event  many compliments on the colors and style  would like to see this offered in other combinations ,POSITIVE,99.86,HI,19.898682,-155.665857
57,jigo2232,1974-08-02,U.S. Virgin Islands,POSITIVE,0.0,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,VI,18.036736,-64.801704
58,psmw1224,1989-07-29,Minnesota,POSITIVE,33.33,75.79,this flattering blouse was a hit when i wore it to a recent event  many compliments on the colors and style  would like to see this offered in other combinations ,POSITIVE,99.86,MN,46.729553,-94.6859
59,gbir2423,1983-07-31,Maine,POSITIVE,0.0,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,ME,45.253783,-69.445469
60,nejh1321,1978-08-01,Alaska,POSITIVE,0.0,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,AK,63.588753,-154.493062
61,bgkj4122,1991-07-29,Washington,NEGATIVE,83.33,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,WA,47.751074,-120.740139
62,jdwh3411,1960-08-05,Guam,POSITIVE,66.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,GU,13.444304,144.793732
63,xzjf1423,1953-08-07,Alaska,POSITIVE,0.0,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,AK,63.588753,-154.493062
64,yrzj4331,1951-08-08,Rhode Island,POSITIVE,50.0,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,RI,41.580095,-71.477429
65,txab2133,1972-08-02,Kansas,POSITIVE,0.0,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,KS,39.011902,-98.484246
66,pbqp2433,1965-08-04,Missouri,NEGATIVE,16.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,MO,37.964253,-91.831833
67,wlfl2311,1990-07-29,North Dakota,POSITIVE,0.0,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,ND,47.551493,-101.002012
68,upwm2343,1953-08-07,Washington,POSITIVE,50.0,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,WA,47.751074,-120.740139
69,vmhm1311,1968-08-03,South Carolina,POSITIVE,0.0,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,SC,33.836081,-81.163725
70,jign4433,1967-08-04,Montana,POSITIVE,33.33,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,MT,46.879682,-110.362566
71,owep1423,1958-08-06,Washington,NEGATIVE,66.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,WA,47.751074,-120.740139
72,hqju3112,1996-07-27,Montana,POSITIVE,83.33,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,MT,46.879682,-110.362566
73,mout3143,1981-07-31,Oregon,POSITIVE,16.67,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,OR,43.804133,-120.554201
74,vdgj1322,1992-07-28,Kentucky,POSITIVE,33.33,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,KY,37.839333,-84.270018
75,juke2431,2000-07-26,Oregon,POSITIVE,33.33,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,OR,43.804133,-120.554201
76,bhpg4141,1980-07-31,Nebraska,NEGATIVE,16.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,NE,41.492537,-99.901813
77,urcy2423,1992-07-28,Minnesota,POSITIVE,16.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,MN,46.729553,-94.6859
78,uazk1321,1999-07-27,Massachusetts,POSITIVE,0.0,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,MA,42.407211,-71.382437
79,katd4322,1981-07-31,Minor Outlying Islands,POSITIVE,66.67,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,MO,28.2075,-177.35
80,esct3422,1996-07-27,South Carolina,POSITIVE,0.0,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,SC,33.836081,-81.163725
81,kbip3442,1960-08-05,Guam,POSITIVE,0.0,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,GU,13.444304,144.793732
82,wosk1343,1956-08-06,West Virginia,POSITIVE,16.67,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,WV,38.597626,-80.454903
83,zpcm1313,1977-08-01,New York,POSITIVE,33.33,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,NY,43.299428,-74.217933
84,qxab4413,1996-07-27,Wyoming,POSITIVE,16.67,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,WY,43.075968,-107.290284
85,hbir3342,1965-08-04,Utah,POSITIVE,83.33,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,UT,39.32098,-111.093731
86,ihyg3221,1969-08-03,Ohio,POSITIVE,33.33,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,OH,40.417287,-82.907123
87,pxzg3323,1955-08-07,Delaware,POSITIVE,33.33,80.7,i love the way these capri pants look and feel  the material is very nice ,POSITIVE,99.98,DE,38.910832,-75.52767
88,hrkt3212,1993-07-28,Montana,POSITIVE,33.33,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,MT,46.879682,-110.362566
89,ymnq2442,1959-08-06,Alaska,POSITIVE,33.33,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,AK,63.588753,-154.493062
90,augl4213,1955-08-07,Idaho,POSITIVE,50.0,95.3,it was my mother in laws birthday top this holiday  the detail are always nice on the dunner products and washes very well  the only thing on this one  it seems to be a little smaller than most of the tops i have purchased in the past  do not buy smaller  this top is not fuller as normal  1x was perfect not the xl ,NEGATIVE,-96.0,ID,44.068202,-114.742041
91,jyen2411,1990-07-29,Northern Mariana Islands,POSITIVE,16.67,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,MP,15.19,145.75
92,twxv3343,1974-08-02,Utah,POSITIVE,0.0,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,UT,39.32098,-111.093731
93,kljm3131,1951-08-08,Massachusetts,POSITIVE,33.33,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,MA,42.407211,-71.382437
94,vctb1134,1964-08-04,South Carolina,NEGATIVE,16.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,SC,33.836081,-81.163725
95,nedv3242,1999-07-27,Rhode Island,POSITIVE,16.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,RI,41.580095,-71.477429
96,qvhr2231,1986-07-30,Indiana,POSITIVE,0.0,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,IN,40.551217,-85.602364
97,yzht1411,1992-07-28,Georgia,POSITIVE,50.0,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,GA,32.157435,-82.907123
98,iwfu4341,1987-07-30,Georgia,POSITIVE,50.0,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,GA,32.157435,-82.907123
99,yfuu3423,1955-08-07,Alaska,POSITIVE,50.0,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,AK,63.588753,-154.493062
100,zgjh3114,1985-07-30,Florida,POSITIVE,50.0,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,FL,27.664827,-81.515754
101,linr3223,1973-08-02,South Dakota,NEGATIVE,83.33,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,SD,43.969515,-99.901813
102,tlwm3342,1987-07-30,Indiana,POSITIVE,66.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,IN,40.551217,-85.602364
103,cgid3321,1958-08-06,Colorado,POSITIVE,83.33,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,CO,39.550051,-105.782067
104,nrnj1112,1979-08-01,Utah,POSITIVE,33.33,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,UT,39.32098,-111.093731
105,aypg4323,1971-08-03,Montana,POSITIVE,0.0,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,MT,46.879682,-110.362566
106,tbsg2412,1999-07-27,Washington,POSITIVE,50.0,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,WA,47.751074,-120.740139
107,svkb2211,1968-08-03,Colorado,POSITIVE,0.0,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,CO,39.550051,-105.782067
108,dtwa4431,1987-07-30,Utah,NEGATIVE,0.0,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,UT,39.32098,-111.093731
109,uazk1321,1999-07-27,Massachusetts,POSITIVE,0.0,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,MA,42.407211,-71.382437
110,gfxp4134,1997-07-27,California,POSITIVE,33.33,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,CA,36.778261,-119.417932
111,njuo1123,1959-08-06,North Dakota,POSITIVE,16.67,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,ND,47.551493,-101.002012
112,tblc4142,1961-08-05,Nebraska,POSITIVE,33.33,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,NE,41.492537,-99.901813
113,fwwc3322,1976-08-01,American Samoa,POSITIVE,50.0,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,AS,-14.275632,-170.702042
114,qtjx3143,1997-07-27,New Jersey,POSITIVE,0.0,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,NJ,40.058324,-74.405661
115,seii1233,1984-07-30,Oklahoma,NEGATIVE,0.0,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,OK,35.007752,-97.092877
116,arbe4321,1973-08-02,South Carolina,POSITIVE,16.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,SC,33.836081,-81.163725
117,lvbu4322,1956-08-06,Florida,POSITIVE,0.0,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,FL,27.664827,-81.515754
118,nqau2443,1959-08-06,Wyoming,POSITIVE,33.33,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,WY,43.075968,-107.290284
119,uvxg2432,1977-08-01,Alaska,POSITIVE,33.33,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,AK,63.588753,-154.493062
120,nwho1343,1998-07-27,South Dakota,POSITIVE,50.0,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,SD,43.969515,-99.901813
121,vjis2133,1985-07-30,Virginia,POSITIVE,16.67,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,VA,37.431573,-78.656894
122,ipgy2214,1968-08-03,Colorado,NEGATIVE,16.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,CO,39.550051,-105.782067
123,lwmu4211,1984-07-30,Hawaii,POSITIVE,0.0,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,HI,19.898682,-155.665857
124,ndkl1344,1981-07-31,Kansas,POSITIVE,83.33,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,KS,39.011902,-98.484246
125,zfee4232,1994-07-28,Kentucky,POSITIVE,33.33,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,KY,37.839333,-84.270018
126,xqbo2114,2000-07-26,California,POSITIVE,33.33,93.92,these capris are very comfortable  with just the right amount of spandex for stretch  i love the cute cuff on the bottom  i bought these for vacation to go with the lime green sao paolo top  look very cute  and dressier than just a tee and jeanslove me some dunner ,POSITIVE,99.84,CA,36.778261,-119.417932
127,dskz4313,2001-07-26,Kentucky,POSITIVE,33.33,91.1,this top is so comfortable and flattering  i get compliments on how good i look wearing it ,POSITIVE,99.99,KY,37.839333,-84.270018
128,sbke4341,1998-07-27,New Jersey,POSITIVE,16.67,81.76,comfortable and lightweight material for summer wear  love the button accent ,POSITIVE,99.92,NJ,40.058324,-74.405661
129,gwtt4413,1970-08-03,Illinois,NEGATIVE,66.67,-47.67,i was disappointed in the quality upon closer inspection at home ,NEGATIVE,-100.0,IL,40.633125,-89.398528
130,govj2343,1975-08-02,New Hampshire,POSITIVE,16.67,63.69,i love alfred dunner pants and capris  these have more room in the hip and thigh area than other brands  i can wear a size 10 instead of a 12 because of this ,POSITIVE,98.18,NH,43.193852,-71.572395
131,yyjm2431,1973-08-02,Ohio,POSITIVE,0.0,15.31,the color and pattern is so summery  and the shape flatters my figure ,POSITIVE,99.7,OH,40.417287,-82.907123
132,hviz1422,1976-08-01,Georgia,POSITIVE,50.0,93.13,these capris are so comfortable and fit great on me as i am a plus size  they are also nice enough to wear at my office ,POSITIVE,99.99,GA,32.157435,-82.907123
133,vijp2233,1993-07-28,Minor Outlying Islands,POSITIVE,33.33,92.45,this is beautiful  it fit fantastic and flatters my curves  highly recommend ,POSITIVE,99.99,MO,28.2075,-177.35
